question,correct_answer,wrong_answer
when is it memorial day,"On Memorial Day, the flag of the United States is traditionally flown at half-mast.","['Memorial Day was established in 1873 on July 5 to commemorate fallen defenders of the Union during the Civil War.', 'Memorial Day is observed on the last Monday in May.', 'In the United States, Memorial Day is held on the last Monday in May.']"
"What was ""Freedom Summer""?","Freedom Summer, also known as the Mississippi Summer Project, was a United States civil rights teaching project during June and July 1964 that worked to register as many African American voters in Mississippi as possible. It began with an early campaign","['In late June, the Mississippi police murdered Medgar Evers, a prominent African American activist', 'A number of civil rights activists were murdered, some by members of the Ku Klux K', 'The Mississippi Freedom Project (MFP), better known as ""Freedom Summer,"" was a volunteer project organized by the Council of Federated Organizations (COFO).']"
"What was ""Freedom Summer""?","Freedom Summer, also known as the Mississippi Summer Project, was a United States civil rights teaching project during June and July 1964 that worked to register as many African American voters in Mississippi as possible. It began with an early campaign","['Freedom Summer, also known as the Mississippi Freedom Summer, was an historic effort of the U', 'Freedom Summer ( Summer Project, Project Summer or Mississippi Summer Project ) was a voter registration project in 1964 in the U.S. state of Mississippi.', 'The Mississippi Freedom Project (MFP), better known as ""Freedom Summer,"" was a volunteer project organized by the Council of Federated Organizations (COFO).']"
where is dia de los muertos celebrated,"Dia de los Muertos, or Day of the Dead, is a holiday celebrated by millions of Mexicans and Americans on November 1st and 2nd.","['The tradition goes back to the Aztec culture in the 16th century, during the first La Paz mass in the main square of the town of Oaxaca, but the day to honor the dead was moved to coincide with', 'The Day of the Dead, celebrated from November 1st to 3rd', 'For hundreds of years, the Catholic Church taught that the dead could not be prayed to.']"
what was the Name the first electronic handheld calculator,The ANITA Mark VII and ANITA Mark VIII calculators were launched simultaneously in late 1961 as the world's first all- electronic desktop calculators .,"['The name of the company or people is not known.', 'The name ""Hewlett-Packard"" honors Bill Hewlett (left ) and Dave Packard (right), who founded the company in a Palo Alto, California garage.', 'The Hewlett-Packard HP-35 was the first widely available scientific handh']"
when was washington elected president,Washington won election as president of the United States in 1789.,"['On April 30, 1789, George Washington was inaugurated as the first', 'George Washington was elected unopposed without a vote being held; each elector had pledged to vote for Washington.', 'George Washington is called the "" Father of his Country "".']"
where is the island New Guinea?,"New Guinea is the world's second-largest island, located in the western Pacific Ocean, to the north of Australia.","['New Guinea is an island in the southwest Pacific Ocean.', 'New Guinea is the second largest island in the world, the largest island in Oceania and the', 'New Guinea is an island, which is actually located to the North of Papua, New Guinea.']"
what is in milk,Milk is a white liquid produced by the mammary glands of female mammals. It is the primary source of nutrition for newborns before they are able to digest other types of food.,"['Milk is the primary source for the following food: Yogurt, ricotta, cottage cheese or similar products.', 'Milk is a nutritious liquid produced by mammals', 'In cows milk, the main ingredient of the mixture is milk itself.']"
what is in milk,Milk is a white liquid produced by the mammary glands of female mammals. It is the primary source of nutrition for newborns before they are able to digest other types of food.,"['Milk is the primary source for the following food: Yogurt, ricotta, cottage cheese or similar products.', 'Milk is a white liquid produced by the mammary glands of mammals.', 'In milk, but not milk byproducts, all eight essential amino acids are available in good']"
What is motorcycle speedway racing,"The sport is primarily associated with the United Kingdom, where it originated in 1928 and was popularised by the 1950s pop star Tommy Banks.","['Grasstrack was the main form of speedway racing throughout Britain until the late 1960s when the introduction of the ATV bike in 1968 saw it overtaken by the newer machines as the racing', 'Motorcycle speedway is a bicycle racing sport in which several riders race around an elliptical oval, usually made of wood, with long rows of very tall wooden fences at each bend that they attempt to avoid - most', 'The earliest motorcycle speedway track was built on the site of Whitsun Speedway in Dudley, West Midlands, England in 1929, and it has been held on that track since.']"
who is the guy in the wheelchair who is smart,"Stephen Hawking is a theoretical physicist, cosmologist, author and Director of Research at the Centre for Theoretical Cosmology at the University of Cambridge.","['Stephen William Hawking (born 8 January 1942) is an English theoretical phys', 'The character of Sheldon Cooper (Jim Parsons) was created by Chuck Lorre and Bill Prady of their experiences as scientists at the California Institute of Technology, where they both got their Physics degrees in 198', 'It is the story of Christopher, a boy with Down syndrome who is also the main character of the series, which explores his life and the lives of those around him.']"
what is honey bee propolis,"Propolis, also known as bee glue, is a sticky, yellow-colored substance collected from sap or resin from trees or plants, and used by bees in the construction of their hives. :","['Propolis (sometimes called bee propolis; Greek: προπολίς) is a natural resinous material collected and used by honey bees to joint their hives together, paint the interior of', 'Honey is produced in wax structures called honeycombs or honey frames, which are made of beeswax, a product of bee salivations and digestive secretions.', 'Propolis can be found all around the world, including North America, Europe, Asia, and']"
what is honey bee propolis,"Propolis, also known as bee glue, is a sticky, yellow-colored substance collected from sap or resin from trees or plants, and used by bees in the construction of their hives. :","['Propolis is a resin used by honey bees to seal the interior hive', 'Honey is produced in wax structures called honeycombs or honey frames, which are made of beeswax, a product of bee salivations and digestive secretions.', 'Propolis (sometimes called bee propolis; Greek: προπολίς) is a natural resinous material collected and used by honey bees to joint their hives together, paint the interior of']"
when was steven tyler born,"On March 26, 1948, Steven Tallarico was born in Manhattan, where he lived on W. 17th Street in Greenwich Village until being relocated with his father, a classical pianist","['Steven Tyler was born on Mar 16, 1935 in Tishomingo, Mississippi, USA.', 'Steven Tyler (born Steven Victor Tallarico; March 26, 19', ""Steven Tyler's Birthday, Age, Trivia.""]"
what is blood urea,Blood urea nitrogen (BUN) is a measure of the level of urea (an ammonium - containing waste product) in blood plasma (BP).,"['Blood urea nitrogen (BUN) is a chemical compound found in blood, which consists of urea and nitrogen (N), and is an important indicator of kidney function.', 'Blood urea nitrogen (BUN) also known as urea nitrogen, is a water-soluble waste product (called urea) that comes from the normal decomposition of protein in the liver.', 'A colorless, water-soluble organic compound, BUN, Urea']"
